Subject ID Number	Age (years)	Height (inches)	Weight (pounds)
239	1	25 	32 
240	17	194 	109 
241	15	84 	39 
242	5	59 	49 
243	7	45 	66 
244	4	44 	64 
245	13	128 	63 
246	2	28 	26 
247	16	168 	184 
248	18	114 	96 
249	14	94 	80 
250	18	150 	114 
251	2	42 	34 
252	13	50 	37 
253	11	112 	112 
254	6	66 	78 
255	4	60 	28 
256	8	88 	96 
257	12	84 	48 
258	11	57 	46 
259	15	39 	159 
260	1	33 	29 
261	6	60 	30 
262	17	177 	58 
263	14	150 	66 
264	14	80 	80 
265	14	94 	52 
266	3	30 	42 
267	1	28 	25 
268	10	84 	114 
269	13	141 	76 
270	13	115 	37 
271	13	141 	37 
272	12	108 	96 
273	7	38 	80 
274	5	64 	44 
275	14	66 	164 
276	1	34 	26 
277	9	114 	42 
278	6	42 	48 
279	15	54 	39 
280	17	92 	92 
281	14	52 	108 
282	4	36 	48 
283	13	63 	128 
284	5	54 	49 
285	5	64 	69 
286	3	33 	45 
287	1	28 	27 
288	9	42 	33 
289	13	50 	63 
290	15	54 	84 
291	9	96 	51 
292	12	48 	60 
293	13	63 	89 
294	18	60 	204 
295	10	94 	34 
296	2	26 	30 
297	3	42 	27 
298	3	30 	30 
299	2	28 	30 
300	13	102 	154 
301	3	45 	27 
302	11	123 	101 
303	5	59 	34 
304	7	59 	31 
305	3	27 	48 
306	5	64 	59 
307	15	159 	114 
308	15	39 	39 
309	13	154 	154 
310	1	31 	33 
311	13	115 	37 
312	13	128 	63 
313	15	84 	129 
314	13	37 	154 
315	8	72 	40 
316	3	39 	33 
317	3	54 	39 
318	1	27 	32 
319	11	123 	134 
320	2	34 	28 
321	2	34 	40 
322	14	136 	66 
323	5	29 	54 
324	6	36 	66 
325	16	136 	40 
326	18	114 	96 
327	5	34 	59 
328	18	150 	150 
329	5	69 	64 
330	1	34 	25 
331	5	64 	54 
332	9	60 	42 
333	8	80 	72 
334	9	105 	96 
335	13	128 	115 
336	17	92 	126 
337	12	84 	36 
338	4	48 	40 
339	9	42 	69 
340	12	108 	120 
341	5	59 	39 
342	12	144 	132 
343	1	25 	31 
344	17	177 	109 
345	3	30 	54 
346	15	39 	114 
347	3	51 	54 
348	1	30 	34 
349	1	28 	33 
350	11	134 	68 
351	10	114 	64 
352	5	44 	39 
353	16	104 	88 
354	12	120 	132 
355	9	114 	96 
356	11	112 	101 
357	17	41 	41 
358	14	136 	94 
359	18	168 	96 
360	5	59 	74 
361	7	80 	80 
362	3	48 	42 
363	1	31 	28 
364	9	60 	78 
365	11	134 	35 
366	17	143 	126 
367	4	64 	48 
368	12	72 	60 
369	9	51 	78 
370	14	94 	66 
371	2	34 	26 
372	15	54 	39 
373	17	177 	58 
374	13	89 	115 
375	18	204 	168 
376	11	35 	112 
377	3	45 	51 
378	7	45 	87 
379	13	63 	76 
380	14	136 	164 
381	9	78 	105 
382	18	132 	150 
383	5	59 	29 
384	3	33 	54 
385	13	63 	63 
386	8	48 	48 
387	5	49 	44 
388	1	30 	34 
389	11	123 	79 
390	17	194 	177 
391	6	66 	66 
392	7	38 	87 
393	2	38 	40 
394	13	37 	76 
395	12	36 	144 
396	1	27 	34 
397	1	28 	25 
398	6	54 	84 
399	2	42 	38 
400	3	36 	48 
401	14	164 	150 
402	14	108 	80 
403	4	36 	60 
404	3	30 	27 
405	7	59 	94 
406	3	42 	30 
407	10	124 	34 
408	3	54 	27 
409	15	174 	39 
410	4	56 	64 
411	10	54 	74 
412	9	33 	69 
413	2	40 	44 
414	18	60 	168 
415	5	64 	44 
416	9	60 	78 
417	10	34 	44 
418	15	69 	69 
419	8	80 	72 
420	7	94 	45 
421	7	59 	87 
422	2	40 	40 
423	16	88 	136 
424	17	143 	75 
425	13	89 	50 
426	7	66 	31 
427	13	63 	76 
428	17	160 	75 
429	1	28 	29 
430	4	64 	48 
431	4	56 	52 
432	17	143 	143 
433	3	45 	36 
434	16	56 	88 
435	6	78 	72 
436	2	30 	34 
437	7	38 	73 
438	7	38 	80 
439	2	38 	34 
440	14	52 	108 
441	10	64 	124 
442	2	26 	26 
443	2	34 	30 
444	4	52 	44 
445	11	79 	134 
446	16	184 	104 
447	4	44 	32 
448	2	30 	30 
449	3	33 	39 
450	1	28 	25 
451	3	45 	33 
452	6	30 	30 
453	7	73 	38 
454	18	60 	96 
455	6	48 	54 
456	7	66 	80 
457	4	52 	44 
458	11	79 	68 
459	6	66 	84 
460	3	42 	30 
461	9	51 	33 
462	18	42 	60 
463	14	94 	80 
464	10	84 	84 
465	3	45 	51 
466	11	90 	79 
467	1	25 	25 
468	9	78 	105 
469	8	64 	104 
470	2	38 	40 
471	9	87 	78 
472	18	132 	168 
473	16	56 	40 
474	12	132 	144 
475	1	25 	31 
476	10	104 	74 
477	16	88 	40 
478	6	72 	72 
479	13	154 	115 
480	11	123 	79 
481	16	120 	88 
482	9	33 	87 
483	10	64 	74 
484	9	51 	60 
485	8	40 	64 
486	7	87 	31 
487	5	59 	59 
488	12	60 	144 
489	1	27 	29 
490	7	38 	66 
491	17	58 	160 
492	5	39 	74 
493	4	48 	48 
494	3	42 	51 
495	11	134 	35 
496	7	94 	52 
497	3	42 	33 
498	13	50 	76 
499	14	38 	38 
500	15	39 	99 
501	12	132 	96 
502	8	40 	96 
503	11	90 	123 
504	5	34 	44 
505	15	99 	114 
506	13	141 	102 
507	18	186 	150 
508	8	64 	64 
509	2	26 	30 
510	7	38 	73 
511	4	40 	40 
512	6	36 	84 
513	3	45 	39 
514	15	54 	129 
515	3	51 	33 
516	8	48 	64 
517	8	48 	80 
518	7	31 	80 
519	12	36 	108 
520	18	42 	114 
521	12	72 	48 
522	12	144 	96 
523	4	56 	60 
524	10	114 	124 
525	17	177 	92 
526	4	28 	64 
527	6	60 	78 
528	13	102 	141 
529	17	143 	143 
530	2	36 	38 
531	7	73 	38 
532	10	104 	104 
533	17	75 	143 
534	7	38 	73 
535	1	25 	27 
536	15	159 	159 
537	3	48 	27 
538	10	34 	44 
539	7	31 	31 
540	17	177 	177 
541	5	64 	44 
542	17	58 	75 
543	13	115 	37 
544	4	44 	64 
545	16	72 	152 
546	11	46 	46 
547	18	186 	96 
548	16	104 	184 
549	17	75 	126 
550	5	29 	34 
551	12	48 	72 
552	11	35 	123 
553	5	34 	49 
554	10	94 	64 
555	18	96 	204 
556	18	132 	150 
557	14	136 	80 
558	16	72 	104 
559	13	141 	141 
560	18	78 	96 
561	17	109 	143 
562	4	52 	32 
563	11	57 	57 
564	4	44 	28 
565	3	42 	36 
566	4	32 	48 
567	14	94 	136 
568	17	41 	160 
569	15	159 	39 
570	3	45 	33 
571	3	27 	36 
572	12	60 	72 
573	7	80 	52 
574	13	63 	128 
575	5	59 	69 
576	4	64 	44 
577	15	129 	84 
578	8	32 	80 
579	18	60 	96 
580	10	34 	74 
581	8	56 	32 
582	9	33 	78 
583	2	44 	32 
584	13	102 	141 
585	18	96 	60 
586	16	40 	56 
587	12	96 	36 
588	4	36 	64 
589	2	42 	34 
590	11	90 	68 
591	6	42 	42 
592	17	75 	177 
593	11	35 	112 
594	5	74 	49 
595	9	114 	78 
596	5	54 	39 
597	3	42 	45 
598	4	60 	52 
599	9	33 	96 
600	6	42 	84 
601	9	87 	33 
602	4	40 	36 
603	14	108 	136 
604	18	132 	150 
605	16	88 	120 
606	9	42 	51 
607	1	30 	29 
608	11	57 	112 
609	4	56 	40 
610	14	136 	136 
611	9	105 	51 
612	7	31 	80 
613	17	75 	194 
614	5	29 	39 
615	2	38 	26 
616	7	80 	59 
617	5	39 	39 
618	12	36 	36 
619	11	123 	123 
620	12	84 	72 
621	9	96 	60 
622	14	52 	136 
623	4	40 	56 
624	13	63 	141 
625	14	108 	136 
626	7	87 	66 
627	14	38 	38 
628	11	57 	101 
629	9	51 	87 
630	4	40 	52 
631	12	48 	120 
632	17	126 	143 
633	9	96 	60 
634	9	87 	96 
635	8	32 	32 
636	16	72 	184 
637	14	122 	136 
638	2	42 	40 
639	12	72 	36 
640	14	38 	80 
641	10	104 	74 
642	7	87 	38 
643	6	60 	54 
644	8	56 	72 
645	15	114 	114 
646	16	56 	152 
647	1	28 	25 
648	6	48 	30 
649	1	26 	25 
650	1	31 	27 
651	14	80 	136 
652	17	75 	58 
653	3	45 	39 
654	2	32 	30 
655	4	44 	36 
656	2	36 	30 
657	3	54 	33 
658	5	49 	39 
659	7	31 	31 
660	7	38 	66 
661	1	30 	25 
662	14	38 	80 
663	9	114 	78 
664	17	58 	92 
665	2	38 	42 
666	3	54 	51 
667	5	39 	29 
668	4	64 	60 
669	8	104 	48 
670	9	114 	33 
671	6	36 	60 
672	1	31 	28 
673	3	39 	33 
674	5	59 	69 
675	12	132 	144 
676	18	114 	204 
677	3	27 	51 
678	16	152 	120 
679	14	94 	150 
680	11	35 	134 
681	17	177 	41 
682	14	94 	66 
683	6	54 	54 
684	16	56 	72 
685	2	32 	32 
686	2	32 	34 
687	6	36 	66 
688	14	52 	38 
689	1	28 	32 
690	1	33 	26 
691	16	104 	152 
692	12	72 	72 
693	11	35 	79 
694	7	31 	38 
695	5	44 	44 
696	2	38 	26 
697	7	94 	38 
698	12	108 	60 
699	11	123 	68 
700	8	96 	56 
701	17	143 	92 
702	6	72 	30 
703	9	105 	69 
704	9	87 	69 
705	12	108 	84 
706	14	122 	38 
707	16	56 	136 
708	15	144 	159 
709	17	177 	41 
710	14	136 	150 
711	4	32 	28 
712	16	120 	56 
713	11	68 	134 
714	18	42 	132 
715	8	40 	104 
716	2	42 	36 
717	5	74 	59 
718	17	177 	92 
719	17	160 	58 
720	16	184 	88 
721	8	96 	80 
722	4	32 	44 
723	14	66 	38 
724	18	150 	96 
725	15	144 	174 
726	15	159 	69 
727	16	72 	72 
728	15	129 	84 
729	15	159 	174 
730	14	94 	122 
731	13	141 	102 
732	9	105 	105 
733	12	120 	60 
734	12	132 	144 
735	6	36 	54 
736	8	88 	64 
737	8	72 	32 
738	14	108 	94 
739	12	132 	96 
740	9	60 	51 
741	15	84 	114 
742	13	37 	115 
743	14	122 	136 
744	8	104 	88 
745	8	104 	72 
746	15	129 	129 
747	17	109 	92 
748	13	63 	63 
749	5	29 	74 
750	5	34 	39 
751	8	72 	72 
752	12	84 	120 
753	10	74 	64 
754	2	40 	40 
755	14	52 	38 
756	15	174 	54 
757	8	80 	104 
758	9	96 	33 
759	10	44 	94 
760	15	159 	144 
761	18	168 	204 
762	6	54 	30 
763	6	60 	48 
764	6	78 	78 
765	13	63 	89 
766	5	49 	74 
767	14	108 	150 
768	5	69 	64 
769	1	25 	33 
770	4	44 	28 
771	6	78 	42 
772	11	101 	90 
773	15	69 	69 
774	9	33 	78 
775	9	60 	78 
776	15	84 	84 
777	7	87 	66 
778	4	56 	44 
779	8	104 	72 
780	17	126 	41 
781	9	69 	60 
782	9	96 	60 
783	2	32 	40 
784	3	54 	45 
785	4	36 	64 
786	3	54 	42 
787	17	109 	194 
788	1	33 	26 
789	11	57 	123 
790	11	90 	134 
791	14	150 	164 
792	7	94 	94 
793	7	80 	66 
794	3	33 	42 
795	4	52 	60 
796	1	30 	33 
797	8	80 	80 
798	17	143 	109 
799	17	92 	194 
800	18	150 	150 
801	14	38 	108 
802	9	96 	87 
803	6	48 	48 
804	14	38 	66 
805	9	105 	114 
806	18	114 	186 
807	2	28 	26 
808	6	54 	36 
809	7	52 	66 
810	6	78 	30 
811	6	78 	78 
812	3	54 	27 
813	12	132 	120 
814	12	84 	84 
815	2	30 	42 
816	4	44 	32 
817	1	29 	31 
818	11	112 	57 
819	1	27 	32 
820	2	44 	38 
821	15	84 	39 
822	4	56 	40 
823	3	27 	51 
824	10	54 	44 
825	6	54 	30 
826	13	89 	128 
827	17	41 	194 
828	6	48 	84 
829	3	27 	45 
830	8	56 	104 
831	12	48 	84 
832	6	36 	78 
833	18	168 	150 
834	7	59 	73 
835	16	72 	72 
836	17	92 	92 
837	2	44 	28 
838	8	32 	104 
839	16	184 	104 
840	1	30 	32 
841	12	36 	144 
842	17	177 	194 
843	4	48 	44 
844	6	54 	72 
845	10	64 	44 
846	6	30 	54 
847	17	160 	109 
848	16	72 	72 
849	3	42 	54 
850	13	128 	89 
851	2	30 	28 
852	14	164 	136 
853	10	94 	104 
854	13	102 	154 
855	17	126 	109 
856	9	51 	42 
857	14	150 	80 
858	18	204 	150 
859	10	44 	74 
860	18	168 	78 
861	3	39 	27 
862	5	44 	29 
863	16	56 	88 
864	7	94 	45 
865	4	44 	36 
866	6	42 	42 
867	14	136 	52 
868	12	108 	132 
869	12	48 	48 
870	4	36 	40 
871	11	90 	90 
872	17	41 	177 
873	7	59 	31 
874	12	96 	96 
875	3	36 	42 
876	17	109 	160 
877	18	168 	132 
878	14	52 	108 
879	16	88 	168 
880	8	88 	40 
881	14	66 	94 
882	8	72 	104 
883	1	28 	33 
884	4	64 	56 
885	14	108 	164 
886	2	40 	36 
887	13	50 	102 
888	10	64 	124 
889	9	96 	114 
890	9	51 	114 
891	15	159 	159 
892	4	40 	60 
893	3	36 	39 
894	1	33 	32 
895	15	174 	54 
896	14	94 	80 
897	10	44 	54 
898	18	204 	168 
899	12	36 	48 
900	16	136 	72 
901	11	123 	90 
902	6	78 	66 
903	6	30 	78 
904	10	124 	124 
905	11	35 	134 
906	13	128 	89 
907	15	54 	144 
908	10	74 	114 
909	12	72 	96 
910	16	88 	104 
911	8	64 	104 
912	1	25 	27 
913	1	29 	25 
914	10	84 	34 
915	6	78 	60 
916	13	37 	141 
917	12	72 	96 
918	5	34 	29 
919	8	32 	72 
920	5	59 	54 
921	17	75 	194 
922	12	36 	84 
923	5	49 	39 
924	7	80 	31 
925	3	33 	27 
926	10	44 	34 
927	18	42 	78 
928	5	44 	49 
929	18	204 	114 
930	18	168 	114 
931	12	96 	108 
932	5	29 	44 
933	17	126 	177 
934	2	38 	36 
935	2	42 	40 
936	10	74 	94 
937	17	126 	126 
938	14	150 	52 
939	2	26 	32 
940	4	36 	56 
941	10	94 	64 
942	15	159 	54 
943	13	63 	50 
944	12	132 	36 
945	8	96 	48 
946	14	136 	94 
947	7	52 	87 
948	4	40 	60 
949	10	104 	124 
950	4	32 	36 
951	6	48 	30 
952	18	186 	132 
953	1	29 	33 
954	18	96 	204 
955	9	96 	78 
956	3	36 	33 
957	14	150 	38 
958	5	64 	59 
959	17	143 	194 
960	17	143 	92 
961	6	54 	84 
962	4	28 	52 
963	16	152 	88 
964	7	94 	66 
965	10	104 	104 
966	6	30 	66 
967	10	84 	64 
968	14	66 	80 
969	11	79 	90 
970	12	72 	60 
971	17	126 	109 
972	3	54 	48 
973	6	36 	78 
974	6	78 	60 
975	18	168 	42 
976	8	80 	72 
977	17	194 	92 
978	3	36 	39 
979	15	84 	129 
980	6	72 	84 
981	14	136 	66 
982	13	89 	89 
983	11	79 	46 
984	1	27 	27 
985	18	114 	204 
986	18	204 	42 
987	9	105 	96 
988	6	42 	84 
989	6	42 	66 
990	13	63 	154 
991	1	25 	32 
992	9	51 	33 
993	13	76 	102 
994	18	186 	42 
995	17	143 	92 
996	16	56 	136 
997	5	29 	39 
998	14	150 	66 
999	7	87 	38 
1000	5	59 	59 
1001	8	80 	80 
1002	15	144 	39 
1003	16	104 	104 
1004	12	144 	120 
1005	11	68 	101 
1006	10	84 	104 
1007	11	35 	101 
1008	6	30 	54 
1009	8	80 	40 
1010	9	60 	69 
1011	4	60 	48 
1012	13	115 	154 
1013	10	104 	84 
1014	9	69 	33 
1015	12	132 	132 
1016	2	28 	28 
1017	13	154 	102 
1018	17	126 	126 
1019	9	33 	42 
1020	4	48 	48 
1021	15	84 	174 
1022	4	40 	64 
1023	11	35 	35 
1024	3	27 	27 
1025	11	79 	46 
1026	3	36 	42 
1027	8	48 	96 
1028	6	72 	66 
1029	9	87 	33 
1030	5	74 	39 
1031	1	25 	26 
1032	10	84 	104 
1033	3	27 	42 
1034	5	74 	54 
1035	10	94 	94 
1036	5	74 	29 
1037	2	34 	40 
1038	10	34 	74 
1039	10	74 	74 
1040	4	52 	56 
1041	10	64 	74 
1042	14	150 	136 
1043	9	78 	87 
1044	4	44 	48 
1045	3	27 	48 
1046	5	54 	39 
1047	11	134 	101 
1048	15	114 	159 
1049	1	27 	26 
1050	2	26 	32 
1051	4	36 	32 
1052	6	54 	60 
1053	3	54 	48 
1054	12	48 	96 
1055	1	34 	28 
1056	12	144 	36 
1057	1	30 	26 
1058	11	101 	79 
1059	10	64 	54 
1060	14	108 	150 
1061	16	168 	184 
1062	17	160 	92 
1063	12	108 	120 
1064	10	34 	114 
1065	15	174 	84 
1066	1	31 	29 
1067	14	136 	94 
1068	7	52 	80 
1069	17	109 	126 
1070	18	150 	60 
1071	17	58 	58 
1072	6	72 	54 
1073	2	26 	44 
1074	12	48 	144 
1075	12	72 	120 
1076	17	194 	41 
1077	1	31 	31 
1078	15	84 	129 
1079	17	41 	92 
1080	10	54 	34 
1081	9	87 	33 
1082	13	141 	50 
1083	7	94 	45 
1084	4	56 	64 
1085	3	45 	54 
1086	1	26 	25 
1087	10	44 	34 
1088	5	74 	54 
1089	3	48 	54 
1090	16	168 	56 
1091	13	89 	115 
1092	13	37 	63 
1093	11	101 	46 
1094	4	64 	36 
1095	17	109 	41 
1096	3	48 	48 
1097	17	194 	177 
1098	5	49 	74 
1099	16	152 	56 
1100	18	204 	150 
1101	17	126 	126 
1102	9	114 	60 
1103	13	37 	115 
1104	6	66 	84 
1105	17	126 	160 
1106	2	36 	28 
1107	16	104 	136 
1108	4	52 	48 
1109	8	104 	96 
1110	6	78 	78 
1111	15	39 	54 
1112	9	96 	78 
1113	10	84 	44 
1114	6	84 	54 
1115	16	152 	184 
1116	6	48 	78 
1117	3	36 	42 
1118	7	87 	80 
1119	18	186 	96 
1120	4	52 	28 
1121	10	84 	74 
1122	18	168 	42 
1123	8	40 	48 
1124	14	150 	108 
1125	4	40 	44 
1126	3	42 	33 
1127	8	80 	88 
1128	18	132 	78 
1129	5	49 	74 
1130	9	60 	60 
1131	7	31 	52 
1132	17	75 	160 
1133	5	34 	59 
1134	14	164 	150 
1135	18	132 	186 
1136	5	44 	39 
1137	8	96 	96 
1138	8	64 	48 
1139	1	26 	28 
1140	18	168 	132 
1141	6	30 	36 
1142	18	204 	42 
1143	1	29 	30 
1144	17	41 	160 
1145	3	33 	30 
1146	8	96 	56 
1147	12	84 	72 
1148	9	60 	51 
1149	15	84 	114 
1150	11	101 	46 
1151	17	92 	160 
1152	13	154 	37 
1153	9	33 	114 
1154	16	168 	136 
1155	8	72 	32 
1156	15	99 	144 
1157	3	51 	33 
1158	15	174 	144 
1159	8	48 	104 
1160	18	78 	168 
1161	7	80 	66 
1162	17	109 	109 
1163	16	88 	120 
1164	1	32 	33 
1165	9	105 	78 
1166	4	36 	48 
1167	16	56 	152 
1168	12	120 	108 
1169	3	45 	45 
1170	9	60 	96 
1171	14	66 	136 
1172	12	72 	60 
1173	8	40 	80 
1174	8	48 	88 
1175	11	57 	68 
1176	10	114 	44 
1177	6	54 	78 
1178	11	101 	112 
1179	16	40 	88 
1180	5	69 	44 
1181	9	42 	114 
1182	5	59 	64 
1183	18	168 	114 
1184	17	41 	109 
1185	6	48 	36 
1186	6	60 	48 
1187	13	76 	102 
1188	16	152 	56 
1189	16	184 	72 
1190	17	109 	160 
1191	16	168 	152 
1192	12	84 	108 
1193	17	160 	58 
1194	15	129 	54 
1195	5	34 	29 
1196	14	108 	66 
1197	6	84 	78 
1198	2	26 	32 
1199	1	31 	26 
1200	16	104 	152 
1201	11	68 	57 
1202	17	75 	126 
1203	15	174 	54 
1204	17	109 	126 
1205	17	126 	160 
1206	3	30 	30 
1207	7	45 	45 
1208	14	108 	38 
1209	13	154 	63 
1210	9	96 	42 
1211	2	28 	42 
1212	13	37 	128 
1213	8	32 	72 
1214	14	108 	150 
1215	2	30 	40 
1216	7	80 	73 
1217	15	159 	114 
1218	18	150 	42 
1219	10	114 	104 
1220	7	87 	80 
1221	2	34 	32 
1222	10	44 	94 
1223	15	69 	99 
1224	6	36 	48 
1225	7	87 	59 
1226	13	154 	37 
1227	18	186 	168 
1228	11	57 	79 
1229	16	184 	72 
1230	15	114 	144 
1231	11	57 	57 
1232	15	159 	114 
1233	16	136 	120 
1234	10	104 	44 
1235	6	54 	78 
1236	11	101 	112 
1237	11	123 	68 
1238	14	164 	38 
1239	15	69 	39 
1240	4	28 	28 
1241	16	40 	72 
1242	1	30 	26 
1243	5	44 	64 
1244	7	73 	59 
1245	7	94 	80 
1246	13	128 	50 
1247	14	150 	80 
1248	12	108 	60 
1249	2	34 	34 
1250	8	32 	88 
1251	17	58 	75 
1252	2	44 	40 
1253	1	33 	30 
1254	11	134 	57 
1255	13	76 	128 
1256	3	45 	51 
1257	5	74 	39 
1258	15	174 	144 
1259	18	168 	42 
1260	8	72 	104 
1261	16	184 	104 
1262	16	184 	120 
1263	2	36 	26 
1264	10	84 	104 
1265	4	44 	40 
1266	18	132 	204 
1267	5	29 	44 
1268	17	126 	126 
1269	2	36 	34 
1270	9	33 	42 
1271	4	32 	36 
1272	10	114 	54 
1273	6	36 	78 
1274	11	35 	79 
1275	8	88 	80 
1276	18	132 	60 
1277	16	136 	40 
1278	7	87 	87 
1279	8	72 	56 
1280	8	40 	96 
1281	2	30 	36 
1282	15	144 	129 
1283	8	40 	104 
1284	6	54 	36 
1285	10	94 	74 
1286	9	60 	51 
1287	7	73 	73 
1288	17	143 	177 
1289	13	115 	115 
1290	17	41 	109 
1291	5	74 	54 
1292	10	34 	124 
1293	12	84 	36 
1294	9	60 	105 
1295	6	60 	84 
1296	12	84 	48 
1297	13	63 	63 
1298	2	28 	30 
1299	5	29 	54 
1300	12	36 	120 
1301	12	96 	60 
1302	7	87 	31 
1303	14	94 	150 
1304	9	33 	69 
1305	4	36 	56 
1306	5	74 	69 
1307	4	32 	32 
1308	16	120 	136 
1309	10	84 	104 
1310	12	108 	48 
1311	5	74 	29 
1312	15	114 	69 
1313	11	112 	134 
1314	8	96 	40 
1315	4	52 	52 
1316	4	28 	32 
1317	2	38 	32 
1318	10	104 	34 
1319	13	128 	63 
1320	2	28 	42 
1321	11	46 	68 
1322	14	94 	80 
1323	15	129 	69 
1324	12	36 	108 
1325	1	31 	25 
1326	6	66 	60 
1327	18	204 	150 
1328	13	154 	102 
1329	10	64 	34 
1330	11	123 	123 
1331	16	56 	104 
1332	17	92 	109 
1333	2	34 	36 
1334	7	45 	80 
1335	14	108 	164 
1336	3	45 	33 
1337	18	168 	60 
1338	4	48 	44 
1339	9	96 	69 
1340	16	40 	40 
1341	13	128 	76 
1342	2	32 	26 
1343	18	204 	150 
1344	4	44 	52 
1345	6	78 	48 
1346	11	134 	46 
1347	13	154 	76 
1348	8	32 	88 
1349	12	108 	120 
1350	10	84 	64 
1351	5	34 	39 
1352	4	56 	32 
1353	5	29 	29 
1354	8	32 	72 
1355	1	34 	32 
1356	7	31 	80 
1357	7	59 	45 
1358	8	88 	56 
